                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2595,                 4.1281,                 1.8195,                0.00651,                0.67816,                0.02148,                0.00584,                 2.1855,                 4.0431,                 1.6756,              3.333e-05,              3.333e-05,              3.333e-05
                      2,                 2.1085,                 4.0851,                  1.681,                0.00769,                0.70115,                0.03319,                0.00974,                 2.0999,                 3.9703,                 1.5173,                7.7e-05,                7.7e-05,                7.7e-05
                      3,                 2.1079,                 3.9622,                 1.7573,                0.00644,                0.70115,                0.04146,                0.02372,                 1.9953,                 3.9991,                 1.5029,             0.00011979,             0.00011979,             0.00011979
                      4,                 1.9204,                 3.6717,                 1.6303,                0.00653,                0.70115,                0.34491,                0.23815,                 1.9794,                  4.038,                 1.6196,              0.0001617,              0.0001617,              0.0001617
                      5,                 2.0079,                 3.3321,                 1.6321,                0.00651,                0.70115,                0.35307,                0.27461,                 1.9674,                 3.9631,                 1.6141,             0.00020273,             0.00020273,             0.00020273
                      6,                  1.923,                 3.0129,                 1.5327,                0.01375,                 0.7931,                0.40836,                 0.2609,                 1.9729,                 3.7642,                 1.4966,             0.00024288,             0.00024288,             0.00024288
                      7,                 2.0091,                 2.6741,                 1.5521,                0.02284,                0.91954,                0.47008,                 0.2698,                 1.7916,                 3.3752,                 1.2523,             0.00028215,             0.00028215,             0.00028215
                      8,                 1.9761,                  2.834,                 1.5524,                0.02906,                0.98851,                0.31493,                0.13438,                 1.8274,                 3.2342,                  1.243,             0.00032054,             0.00032054,             0.00032054
                      9,                 1.9238,                 2.6573,                   1.48,                0.02969,                0.96552,                0.50647,                0.23757,                  1.953,                 3.2898,                 1.3158,             0.00035805,             0.00035805,             0.00035805
                     10,                 1.9287,                 2.5579,                 1.5797,                0.02961,                0.91954,                0.44393,                0.27313,                 1.8478,                 3.4777,                 1.3857,             0.00039468,             0.00039468,             0.00039468
                     11,                 1.8617,                 2.2753,                  1.521,                0.03108,                0.89655,                0.49097,                0.28668,                 1.7193,                 3.4855,                 1.3766,             0.00043043,             0.00043043,             0.00043043
                     12,                 1.7797,                 2.1371,                 1.4776,                0.03558,                0.90805,                0.17818,                0.06558,                 1.7542,                 3.4076,                 1.3784,             0.00046531,             0.00046531,             0.00046531
                     13,                 1.9118,                 2.2404,                 1.5016,                0.01864,                0.78161,                0.07062,                0.03022,                  2.154,                 3.8135,                 1.7166,              0.0004993,              0.0004993,              0.0004993
