                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.5055,                 1.8041,                 1.3397,                0.92936,                0.26437,                0.61846,                0.31138,                 1.8137,                 1.4136,                  1.374,             0.00075904,             0.00075904,             0.00075904
                     35,                 1.4555,                  1.537,                 1.2652,                0.93551,                0.27586,                0.62314,                0.40471,                  1.804,                 1.4228,                 1.3527,             0.00074804,             0.00074804,             0.00074804
                     36,                 1.3657,                 1.6608,                 1.3035,                0.86162,                0.29885,                0.61242,                0.39808,                 1.8679,                 1.4523,                 1.3625,             0.00073704,             0.00073704,             0.00073704
                     37,                 1.3821,                 1.5877,                 1.1871,                0.95119,                 0.2681,                 0.6134,                0.39603,                 1.8873,                 1.4655,                 1.3746,             0.00072604,             0.00072604,             0.00072604
                     38,                 1.3751,                 1.4563,                 1.2225,                0.94735,                0.27586,                0.62429,                 0.3873,                 1.9515,                 1.5697,                 1.4366,             0.00071504,             0.00071504,             0.00071504
                     39,                 1.3631,                 1.5061,                 1.2227,                 0.9582,                0.27586,                0.62967,                0.31377,                 2.0558,                 1.5552,                 1.4805,             0.00070404,             0.00070404,             0.00070404
                     40,                 1.3745,                 1.4584,                 1.1973,                0.96588,                0.26437,                0.41414,                0.17918,                 1.9919,                 1.5839,                 1.4679,             0.00069304,             0.00069304,             0.00069304
                     41,                 1.3498,                 1.4336,                 1.2085,                0.97037,                0.27586,                0.37059,                0.15755,                 2.0024,                 1.5583,                 1.4662,             0.00068204,             0.00068204,             0.00068204
                     42,                 1.3789,                 1.5438,                 1.2279,                0.95882,                0.26437,                0.35022,                0.14011,                 2.0204,                  1.501,                 1.4887,             0.00067104,             0.00067104,             0.00067104
                     43,                 1.2858,                 1.3633,                   1.19,                0.94819,                 0.2499,                0.32416,                0.11593,                  2.095,                 1.6105,                 1.5877,             0.00066005,             0.00066005,             0.00066005
