                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4869,                 4.1839,                 2.0549,                0.00144,                0.35897,                0.03883,                0.01165,                 1.9231,                 4.1564,                 1.5583,              1.111e-05,              1.111e-05,              1.111e-05
                      2,                 2.2351,                 4.1282,                 1.8155,                0.00142,                0.35897,                0.02112,                0.00849,                 1.9045,                 4.1714,                 1.5545,                3.3e-05,                3.3e-05,                3.3e-05
                      3,                 2.0821,                 4.1218,                 1.7827,                 0.0088,                0.69231,                0.04169,                0.00996,                  1.761,                 4.1676,                 1.5335,              5.445e-05,              5.445e-05,              5.445e-05
                      4,                 2.0149,                 4.2314,                 1.8424,                0.00979,                0.71795,                0.06038,                0.02644,                 1.7168,                 4.1348,                 1.4991,              7.546e-05,              7.546e-05,              7.546e-05
                      5,                 1.9287,                 4.1177,                 1.6336,                0.00834,                0.71795,                0.04744,                0.02591,                 1.7728,                 4.1076,                 1.4711,              9.603e-05,              9.603e-05,              9.603e-05
                      6,                 1.9415,                 3.9451,                 1.7121,                0.00785,                0.74359,                0.07584,                0.04735,                 1.7076,                 4.0664,                 1.4192,             0.00011616,             0.00011616,             0.00011616
                      7,                 1.7342,                 3.7603,                 1.5564,                0.00728,                0.74359,                0.18443,                0.13866,                  1.593,                 4.0374,                 1.3706,             0.00013585,             0.00013585,             0.00013585
                      8,                 1.9079,                 3.9924,                  1.777,                0.00685,                0.74359,                0.12342,                0.09421,                 1.5791,                 3.9777,                 1.3162,              0.0001551,              0.0001551,              0.0001551
                      9,                 1.8958,                 3.5378,                 1.6408,                0.00629,                0.74359,                0.18746,                0.13846,                 1.6036,                 3.9455,                 1.3197,             0.00017391,             0.00017391,             0.00017391
                     10,                 1.7209,                  3.255,                 1.5427,                0.00636,                0.74359,                0.18922,                0.14113,                 1.6153,                 3.9487,                 1.3103,             0.00019228,             0.00019228,             0.00019228
                     11,                 1.9148,                 3.2757,                 1.5565,                0.00748,                0.76923,                0.19457,                0.12475,                 1.6702,                 3.9245,                 1.3238,             0.00021021,             0.00021021,             0.00021021
                     12,                 1.9249,                  3.307,                 1.6715,                0.00748,                0.76923,                0.36668,                0.24211,                 1.6538,                 3.8874,                 1.3531,              0.0002277,              0.0002277,              0.0002277
                     13,                 1.9984,                 3.1074,                 1.7182,                0.00857,                0.79487,                 0.3733,                0.24477,                 1.5969,                 3.8428,                 1.3457,             0.00024475,             0.00024475,             0.00024475
                     14,                 1.6581,                 2.9812,                  1.515,                0.00994,                0.82051,                0.37124,                0.24567,                 1.5784,                 3.7971,                  1.335,             0.00026136,             0.00026136,             0.00026136
                     15,                 1.9139,                  2.644,                 1.5339,                0.01104,                0.82051,                0.37387,                0.24955,                 1.5544,                 3.7338,                 1.3098,             0.00027753,             0.00027753,             0.00027753
                     16,                  1.588,                 3.0839,                 1.4701,                 0.0142,                0.87179,                0.24999,                0.15746,                 1.5497,                 3.6089,                 1.2817,             0.00029327,             0.00029327,             0.00029327
                     17,                 1.8427,                  2.538,                 1.4505,                 0.0172,                0.92308,                0.36192,                0.20141,                 1.5176,                 3.5623,                 1.2871,             0.00030856,             0.00030856,             0.00030856
                     18,                 1.6526,                 2.4573,                 1.4446,                0.02028,                0.94872,                0.53764,                0.32607,                 1.5799,                  3.566,                 1.3177,             0.00032341,             0.00032341,             0.00032341
                     19,                 1.6373,                 2.9177,                  1.567,                 0.0205,                0.94872,                0.33989,                0.16463,                  1.641,                 3.5313,                 1.3556,             0.00033782,             0.00033782,             0.00033782
                     20,                 1.7672,                 2.3024,                 1.4195,                0.01836,                0.92308,                0.26684,                0.11858,                 1.6381,                 3.5737,                 1.3609,             0.00035179,             0.00035179,             0.00035179
                     21,                 1.7339,                 2.1549,                 1.4038,                0.01831,                0.92308,                0.23791,                0.10178,                 1.5177,                 3.6133,                 1.3523,             0.00036532,             0.00036532,             0.00036532
                     22,                 1.7149,                  2.529,                 1.5363,                0.01804,                0.92308,                0.22361,                0.11288,                 1.4607,                 3.6378,                 1.3507,             0.00037841,             0.00037841,             0.00037841
                     23,                  1.568,                 1.8579,                 1.3281,                0.01632,                0.92308,                0.21837,                0.11978,                 1.4711,                  3.581,                 1.3092,             0.00039106,             0.00039106,             0.00039106
                     24,                 1.7281,                  2.296,                 1.3672,                0.01551,                0.92308,                 0.2395,                0.12954,                 1.5944,                 3.5034,                 1.3502,             0.00040327,             0.00040327,             0.00040327
                     25,                  1.582,                 2.2545,                 1.3841,                0.01438,                0.92308,                0.27845,                0.14832,                 1.6644,                 3.4857,                 1.3974,             0.00041504,             0.00041504,             0.00041504
                     26,                 1.7994,                 2.1595,                 1.4375,                0.01365,                0.92308,                0.26179,                0.11956,                 1.6741,                 3.5611,                 1.4434,             0.00042637,             0.00042637,             0.00042637
                     27,                  1.644,                 2.0528,                  1.313,                0.01276,                0.92308,                0.27606,                0.11986,                 1.6812,                 3.5375,                   1.46,             0.00043727,             0.00043727,             0.00043727
                     28,                 1.5158,                 2.0706,                 1.3475,                0.01276,                0.92308,                0.27606,                0.11986,                 1.6812,                 3.5375,                   1.46,             0.00044772,             0.00044772,             0.00044772
                     29,                 1.4834,                 2.0669,                  1.365,                0.01307,                0.94872,                0.20591,                0.08996,                 1.7026,                  3.512,                 1.4924,             0.00045773,             0.00045773,             0.00045773
                     30,                 1.5422,                 1.8852,                 1.3355,                0.01258,                0.94872,                0.25665,                0.11082,                 1.7074,                 3.4545,                 1.4948,              0.0004673,              0.0004673,              0.0004673
                     31,                 1.6095,                 1.9871,                 1.3704,                0.01258,                0.94872,                0.25665,                0.11082,                 1.7074,                 3.4545,                 1.4948,             0.00047643,             0.00047643,             0.00047643
                     32,                 1.4815,                 1.6814,                 1.2643,                0.01228,                0.94872,                0.22096,                0.10142,                 1.6805,                  3.386,                 1.4965,             0.00048512,             0.00048512,             0.00048512
                     33,                 1.4027,                   1.78,                 1.2069,                 0.0129,                0.97436,                0.13519,                0.06019,                 1.6354,                 3.1809,                 1.4127,             0.00049337,             0.00049337,             0.00049337
                     34,                 1.4964,                 1.8675,                 1.3055,                 0.0129,                0.97436,                0.13519,                0.06019,                 1.6354,                 3.1809,                 1.4127,             0.00050118,             0.00050118,             0.00050118
                     35,                  1.413,                 1.9246,                 1.2346,                 0.7578,                0.15385,                 0.1269,                0.06741,                 1.6274,                 3.0554,                 1.3517,             0.00050856,             0.00050856,             0.00050856
                     36,                 1.5004,                 2.0619,                 1.3194,                0.76815,                0.07692,                0.14834,                0.07485,                 1.5197,                 3.0426,                 1.2794,             0.00051549,             0.00051549,             0.00051549
                     37,                   1.36,                 1.7013,                 1.2649,                0.76815,                0.07692,                0.14834,                0.07485,                 1.5197,                 3.0426,                 1.2794,             0.00052198,             0.00052198,             0.00052198
                     38,                 1.4719,                 1.8405,                 1.2779,                0.84641,                0.10256,                0.15189,                 0.0816,                 1.5048,                 3.0507,                 1.2766,             0.00052803,             0.00052803,             0.00052803
                     39,                 1.4181,                 1.6859,                 1.1678,                0.89742,                0.12821,                0.15389,                0.08635,                 1.5524,                 3.0836,                 1.3139,             0.00053364,             0.00053364,             0.00053364
                     40,                 1.4961,                 1.8055,                 1.3081,                0.89742,                0.12821,                0.15389,                0.08635,                 1.5524,                 3.0836,                 1.3139,             0.00053881,             0.00053881,             0.00053881
                     41,                 1.2512,                 1.6928,                 1.1411,                0.87284,                0.08404,                 0.1214,                0.06124,                  1.594,                 3.0874,                 1.3068,             0.00054355,             0.00054355,             0.00054355
                     42,                 1.3467,                 1.6259,                 1.2261,                0.79807,                0.10256,                0.08702,                0.04311,                 1.7018,                 3.1159,                 1.3355,             0.00054784,             0.00054784,             0.00054784
                     43,                 1.4618,                 1.8717,                 1.3888,                0.79807,                0.10256,                0.08702,                0.04311,                 1.7018,                 3.1159,                 1.3355,             0.00055169,             0.00055169,             0.00055169
                     44,                 1.2674,                 1.7573,                 1.2364,                0.78338,                0.12821,                0.09618,                0.05238,                  1.822,                  3.042,                 1.4116,              0.0005551,              0.0005551,              0.0005551
