                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.5622,                 1.7786,                 1.3739,                0.65397,                 0.5977,                0.35708,                0.17013,                 1.8594,                 1.7543,                 1.4134,             0.00075904,             0.00075904,             0.00075904
                     35,                 1.4308,                 1.5187,                 1.2499,                0.68031,                0.52874,                 0.3676,                0.17686,                  1.886,                 1.8908,                 1.4181,             0.00074804,             0.00074804,             0.00074804
                     36,                 1.4109,                 1.7178,                 1.3189,                0.74235,                0.49272,                0.41416,                0.19185,                 1.8604,                 2.0029,                 1.3877,             0.00073704,             0.00073704,             0.00073704
                     37,                 1.3866,                 1.4957,                  1.188,                0.66968,                0.57151,                0.45762,                0.20456,                 1.8849,                 1.8459,                 1.3878,             0.00072604,             0.00072604,             0.00072604
                     38,                 1.4026,                 1.4648,                 1.2324,                0.67679,                 0.6092,                0.47609,                0.20761,                 1.8799,                 1.7231,                 1.3676,             0.00071504,             0.00071504,             0.00071504
                     39,                 1.3653,                 1.4447,                 1.2511,                0.58694,                 0.4644,                0.42167,                0.18612,                 1.9543,                 1.7868,                 1.4265,             0.00070404,             0.00070404,             0.00070404
                     40,                 1.3543,                 1.4344,                 1.2083,                0.70857,                0.58621,                0.46656,                0.21472,                 1.9398,                 1.7619,                 1.4663,             0.00069304,             0.00069304,             0.00069304
                     41,                 1.2625,                 1.3525,                 1.1803,                0.80072,                0.55813,                0.61379,                0.35224,                 1.8278,                 1.6446,                 1.4155,             0.00068204,             0.00068204,             0.00068204
                     42,                  1.316,                 1.5026,                 1.2356,                 0.8708,                0.55191,                0.61083,                0.35632,                 1.6996,                 1.6378,                 1.3899,             0.00067104,             0.00067104,             0.00067104
                     43,                 1.3222,                  1.304,                 1.2253,                0.88901,                0.53033,                 0.6073,                0.37969,                  1.719,                 1.6567,                  1.432,             0.00066005,             0.00066005,             0.00066005
                     44,                 1.2612,                 1.3278,                 1.1858,                0.88897,                0.52257,                0.62683,                0.37677,                 1.7908,                 1.6939,                 1.4454,             0.00064905,             0.00064905,             0.00064905
                     45,                 1.2626,                  1.235,                 1.1793,                0.88258,                0.54889,                0.61454,                0.36997,                 1.8046,                 1.6825,                 1.4444,             0.00063805,             0.00063805,             0.00063805
                     46,                 1.2952,                 1.3408,                 1.1845,                 0.9216,                0.54282,                 0.6112,                0.33614,                 1.7911,                   1.65,                 1.4274,             0.00062705,             0.00062705,             0.00062705
                     47,                 1.3188,                 1.4102,                 1.2608,                0.91211,                0.51338,                0.59942,                0.33302,                 1.7851,                 1.6115,                 1.3929,             0.00061605,             0.00061605,             0.00061605
                     48,                 1.2619,                 1.2168,                 1.1544,                0.89893,                0.53445,                0.59872,                0.36424,                 1.8021,                 1.5613,                 1.3624,             0.00060505,             0.00060505,             0.00060505
                     49,                 1.2768,                 1.3655,                 1.2104,                0.82524,                0.56285,                  0.602,                0.38948,                 1.8538,                 1.5777,                 1.3738,             0.00059405,             0.00059405,             0.00059405
                     50,                  1.209,                 1.2735,                  1.153,                0.67053,                 0.5977,                0.60096,                0.38562,                 1.9066,                 1.5874,                 1.3814,             0.00058305,             0.00058305,             0.00058305
                     51,                 1.2042,                 1.3031,                 1.2094,                0.31712,                0.62069,                0.59399,                0.37709,                 1.8715,                 1.6603,                 1.3533,             0.00057205,             0.00057205,             0.00057205
                     52,                  1.143,                 1.1631,                  1.112,                0.29836,                0.60724,                0.58287,                0.38425,                 1.7923,                 1.6517,                 1.3122,             0.00056105,             0.00056105,             0.00056105
                     53,                 1.2178,                 1.3961,                 1.2013,                0.29311,                0.59743,                0.36221,                0.22027,                 1.6391,                 1.6295,                 1.2658,             0.00055006,             0.00055006,             0.00055006
                     54,                  1.333,                 1.3964,                   1.25,                0.18779,                0.28736,                 0.3716,                0.21397,                 1.6516,                 1.6018,                 1.2798,             0.00053906,             0.00053906,             0.00053906
                     55,                 1.1422,                 1.1509,                 1.0923,                0.34609,                0.58862,                0.42576,                0.22785,                 1.7027,                 1.4911,                 1.3287,             0.00052806,             0.00052806,             0.00052806
                     56,                 1.2301,                  1.266,                 1.1721,                0.35709,                0.59259,                0.46505,                0.23278,                 1.7576,                 1.4104,                 1.3813,             0.00051706,             0.00051706,             0.00051706
                     57,                 1.1918,                  1.288,                  1.187,                0.34619,                0.56078,                0.46652,                0.22338,                 1.8699,                  1.359,                 1.4386,             0.00050606,             0.00050606,             0.00050606
                     58,                 1.1159,                  1.128,                 1.1123,                0.37346,                0.57104,                0.46643,                0.21821,                 1.9176,                 1.3578,                 1.4427,             0.00049506,             0.00049506,             0.00049506
                     59,                  1.115,                 1.1716,                 1.1014,                0.87228,                 0.5977,                0.62315,                0.23508,                 1.9186,                 1.4717,                 1.4347,             0.00048406,             0.00048406,             0.00048406
                     60,                 1.1738,                 1.1964,                  1.131,                0.90168,                0.58404,                0.62344,                0.22577,                 1.9022,                 1.5679,                 1.4235,             0.00047306,             0.00047306,             0.00047306
                     61,                 1.1493,                 1.1431,                 1.1058,                0.87081,                0.57644,                0.61493,                0.26165,                 1.8592,                 1.6195,                 1.3893,             0.00046206,             0.00046206,             0.00046206
                     62,                 1.1213,                 1.1605,                 1.1268,                0.82749,                0.56377,                0.59437,                 0.3032,                 1.7867,                  1.656,                  1.356,             0.00045107,             0.00045107,             0.00045107
                     63,                 1.0911,                 1.0885,                 1.0975,                0.81596,                0.56694,                0.58782,                0.33456,                 1.7701,                 1.6364,                 1.3517,             0.00044007,             0.00044007,             0.00044007
                     64,                  1.172,                 1.0783,                 1.1132,                0.77828,                0.56322,                0.58096,                0.33245,                  1.786,                 1.6734,                 1.3751,             0.00042907,             0.00042907,             0.00042907
                     65,                 1.1156,                 1.1916,                 1.1277,                0.76728,                0.56322,                0.59152,                0.32926,                 1.8176,                 1.7543,                 1.3878,             0.00041807,             0.00041807,             0.00041807
                     66,                 1.1244,                 1.0388,                 1.1047,                0.45754,                0.57471,                0.61326,                0.29227,                 1.9124,                 1.8732,                 1.4399,             0.00040707,             0.00040707,             0.00040707
                     67,                 1.1114,                 1.0765,                 1.1147,                0.55223,                0.24138,                0.62347,                0.29715,                 2.0019,                 1.9156,                  1.507,             0.00039607,             0.00039607,             0.00039607
                     68,                 1.0717,                 1.1853,                 1.0874,                 0.8955,                0.24138,                0.63363,                 0.2203,                 1.9711,                 1.9504,                 1.4936,             0.00038507,             0.00038507,             0.00038507
                     69,                 1.0072,                 1.0104,                 1.0658,                0.91014,                0.25287,                0.42937,                0.20992,                 1.8916,                 1.9001,                 1.4391,             0.00037407,             0.00037407,             0.00037407
                     70,                 1.0212,                 1.0641,                 1.0599,                0.58103,                0.25287,                0.47582,                0.23692,                 1.8276,                 1.8026,                 1.3823,             0.00036307,             0.00036307,             0.00036307
                     71,                0.98492,                0.97723,                 1.0537,                0.58433,                0.25287,                0.45333,                0.22865,                 1.8022,                 1.6939,                 1.3607,             0.00035208,             0.00035208,             0.00035208
                     72,                 1.0987,                 1.2648,                 1.1373,                0.59518,                0.25287,                0.44554,                0.22556,                 1.7968,                  1.605,                 1.3628,             0.00034108,             0.00034108,             0.00034108
                     73,                  1.096,                 1.0749,                 1.1466,                0.58111,                0.26437,                0.61004,                0.25094,                  1.821,                 1.5655,                  1.383,             0.00033008,             0.00033008,             0.00033008
